,Description
889,"April 2008. A State Department cable made public by WikiLeaks reported that hackers successfully stole “50 megabytes of email messages and attached documents, as well as a complete list of usernames and passwords from an unspecified (U.S. government) agency.” The cable said that at least some of the attacks originated from a Shanghai -based hacker group linked to the People’s Liberation Army’s Third Department. "
890,"March 2008. U.S. officials reported that American, European, and Japanese companies were experiencing significant losses of intellectual property and business information to criminal and industrial espionage in cyberspace. However, det ails cannot be provided in an unclassified setting.   "
891,March 2008. South Korean Officials claimed that China had attempted to hack into Korean Embassy and Korea military networks. 
892,"January 2008. A CIA official said the agency knew of four incidents overseas where hackers were able to disrupt, or threaten to disrupt, the power supply for four foreign cities. "
893,"November 2007. Jonathan Evans, the head of Britain’s Security Service (MI5), warned 300 business firms of the increased online threat from Russian and Chinese state organizations saying, ""A number of countries continue to devote considerable time and energy trying to steal our sensitive technology on civilian and military projects, and trying to obtain political and economic intelligenc e at our expense. They…increasingly deploy sophisticated technical attacks, using the internet to penetrate computer networks."" "
894,"October 2007. More than a thousand staffers at Oak Ridge National Labs received an email with an attachment that, when opened, provides unknown outsiders with access to the Lab’s databases. "
895,"October 2007. China’s Ministry of State Security said that foreign hackers, 42% from Taiwan and 25% from United Sates, had been stealing information from Chinese key areas. In 2006, when China’s China Aerospace Science & Industry Corporation (CASIC) Intranet Network was surveyed, spywares were found in the computers of classified departments and corporate leaders. "
896,"September 2007. British authorities reported that hackers, believed to have c ome from China’s People’s Liberation Army, penetrated the network of the Foreign Office and other key departments. "
897,September 2007. Contractors employed by DHS and DOD had their networks hacked as backdoors into agency systems. 
898,"September 2007. Francis D elon, Secretary -General of National Defence in France, stated that information systems in France had been infiltrated by groups from China. "
899,September 2007. Israel disrupted Syrian air defense networks (with some collateral damage to its own domestic netw orks) during the bombing of an alleged Syrian nuclear facility. 
900,"August 2007. The British Security Service, the French Prime Minister’s Office and the Office of German Chancellor Angela Merkel all complained to China about intrusion on their government networks. Merkel even raised the matter with China’s President. "
901,June 2007. The Secretary of Defense’s unclassified email account was hacked by unknown foreign intruders as part of a larger series of attacks to access and exploit DOD networks. 
902,"May 2007. Estonian government networks were harassed by a denial of service attack by unknown foreign intruders, most likely at the behest of the Russian government. Some government online services were temporarily disrupted and online banking was halted. These were more like cyber riots than crippling attacks, and the Estonians responded very well; however, they created a wave of fear in cyber dependent countries like the U.S.   "
903,May 2007. The National Defense University had to take its email systems offline because o f hacks by unknown foreign intruders that left spyware on the system. 
