,Description
827,"March 2009. Chinese hackers infiltrated Coca -Cola Co. computer networks and stole trade secret information, including information related to the attempted $2.4 billion acquisition of Huiyuan Juice Group "
828,February 2009. French naval aircraft planes were grounded after military databases were infected with the “confickr” virus. Naval officials suspected someone in the Navy had used an infected USB key. 
829,February 2009. 600 computers at India’s Ministry of External Affairs were hacked. 
830,February 2009. FAA computer systems were hacked. Increased use by FAA of IP -bases’ networks also increases the risk of the intentional disruption of commercial air traffic. 
831,January 2009. Indian Home Ministry officials warned that Pakistani hackers had placed malware on popular music download sites used by Indians in preparation for cyberattacks. 
832,"January 2009. Hackers attacked Israel’s internet infrastructure during the January 2009 military offensive in the Gaza Strip. The attack , which focused on government websites, was executed by at least 5,000,000 computers. Israeli officials believed the attack was carried out by a criminal organization from the former Soviet Union, and paid for by Hamas or Hezbollah. 2008. Britain’s MPs w ere warned about e -mails apparently sent by the European Parliament amid fears that they could be used by Chinese hackers to implant viruses. "
833,December 2008. Even tiny CSIS was hacked in December by unknown foreign intruders. They probably assumed that so me CSIS staff would go into the new administration and may have thought it might be interesting to read their emails beforehand. 
834,December 2008. Retail giant TJX was hacked. The one hacker captured and convicted (Maksym Yastremskiy) is said to have made $ 11 million from the hack. 
835,"November 2008. Classified networks at DOD and CENTCOM were hacked by unknown foreign intruders. Even worse, it took several days to dislodge the intruders and re -secure the networks. "
836,"November 2008. Hackers breached networks at Royal Bank of Scotland’s WorldPay, allowing them to clone 100 ATM cards and withdraw over $9 million dollars from machines in 49 cities. "
837,November 2008. Chinese hackers infiltrated the computer networks of three major oil companies and stole t rade secret information. 
838,November 2008 . Chinese hackers infiltrated the networks of Barack Obama and John McCain’s presidential campaigns and exfiltrated information about future policy agendas. 
839,November 2008. Chinese hackers infiltrated the computer n etwork of the White House and   obtained emails between senior government officials 
840,"October 2008. Police discovered a highly sophisticated supply chain attack where credit card readers made in China and used in UK supermarkets had a wireless device insert ed in them. The device copies a credit card when it is inserted, stores the data, and transfers the data it has collected once a day via WiFi connection to Lahore, Pakistan. Estimated loss is $50 million or more. The device could be instructed to collect o nly certain kinds of cards (such as gold cards), or to go dormant to evade detection. "
841,"August 2008. Computer networks in Georgia were hacked by unknown foreign intruders, most likely at the behest of the Russian government. Much press attention was given to annoying graffiti on Georgian government websites. There was little or no disruption of services but the hacks did put political pressure on the Georgian government and were coordinated with Russian military actions. "
842,"Summer 2008. Marathon Oil, ExxonMo bil, and ConocoPhillips were hacked and lost data detailing the quantity, value, and location of oil discoveries around the world. One company put the losses in the millions. "
